Frequency,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily,D:Daily
11/4/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.75,,18
11/5/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.75,,NaN
11/6/1989,,18.03,14630.35,12.47,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,13.5,,15,,,,,,11,,,8.5,,18
11/7/1989,,18.18,14301.05,12.47,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,13.75,,15,,,,,,12,,,8.5,,NaN
11/8/1989,,18.5,14228.15,12.47,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,11.75,,12,,,,,,11,,,8.5,,18
11/9/1989,,18.48,14128.59,12.49,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,11,,12,,,,,,11,,,8.5,,18
11/10/1989,,18.2,13974.34,12.49,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,13.69,,,,,,,,11,,,8.5,,18
11/11/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.5,,18
11/12/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.5,,NaN
11/13/1989,,18.25,13938.19,12.49,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,13.9,,12,,,,,,11,,,8.5,,18
11/14/1989,,18.3,13873.71,12.49,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,14.13,,12,,,,,,10,,,8.5,,18
11/15/1989,,18.28,NaN,12.49,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,10,11.7,,10,,,,,,10,,,8.5,,18
11/16/1989,,18.58,13746.56,12.49,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,11,12.19,,,,,,,,11,,,8.5,,18
11/17/1989,,18.23,13780.34,12.49,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,11,13.69,,,,,,,,10,,,8.5,,18
11/18/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.5,,18
11/19/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.5,,NaN
11/20/1989,,18.15,13784.11,12.49,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,11,12.5,,,,,,,,10,,,8.5,,18
11/21/1989,,18.08,13600.17,12.49,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,11,13,,,,,,,,9,,,8.5,,18
11/22/1989,,18.15,13652.2,12.49,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,11,13.5,,,,,,,,9,,,8.5,,18
11/23/1989,,18.13,13607.59,12.47,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,11,13.63,,,,,,,,11,,,8.5,,18
11/24/1989,,18.08,13900.22,12.47,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,11,14.01,,,,,,,,11,,,8.5,,18
11/25/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.5,,18
11/26/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.5,,NaN
11/27/1989,,18.1,14411.63,12.47,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,11,14.5,,,,,,,,12,,,8.5,,18
11/28/1989,,18.18,14711.33,12.47,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,11,14.69,,,,,,,,12,,,8.5,,18
11/29/1989,,18.25,15142.54,12.47,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,11,15.22,,,,,,,,12,,,8.5,,18
11/30/1989,,18.35,18660.88,12.46,6,,,,,7,14.875,,,14,,,10,,3.75,,,,,11,15.21,,,,,,,,12,,,8.5,,18
12/1/1989,,18.2,23971.76,12.46,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,14.75,,,,,,,,12,,,8.5,,18
12/2/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.5,,18
12/3/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.5,,NaN
12/4/1989,,18.25,25420.16,12.46,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,13.75,,,,,,,,10,,,8.5,,18
12/5/1989,,18.38,25152.68,12.46,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,13.57,,,,,,,,11,,,8.5,,18
12/6/1989,,18.38,24534.37,12.46,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,12.81,,,,,,,,11,,,8.5,,18
12/7/1989,,18.38,27754.23,12.45,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,12.75,,,,,,,,11,,,8.5,,18
12/8/1989,,18.28,30987.58,12.45,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,14.25,,,,,,,,12,,,8.5,,18
12/9/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.5,,18
12/10/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.5,,NaN
12/11/1989,,18.33,38954,12.45,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,14.25,,,,,,,,12,,,8.5,,18
12/12/1989,,18.13,45438.58,12.45,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,14.19,,,,,,,,11,,,8.5,,18
12/13/1989,,18.18,46850,12.45,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,14.25,,,,,,,,12,,,8.5,,18
12/14/1989,,18.25,51126.28,12.44,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,12.5,,,,,,,,12,,,8.5,,18
12/15/1989,,18.1,53249.49,12.44,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,11.5,,,,,,,,11,,,8.5,,18
12/16/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.5,,NaN
12/17/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.5,,NaN
12/18/1989,,18.13,52934.26,12.44,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,13.25,,,,,,,,11,,,8.5,,18
12/19/1989,,18.08,51821.05,12.44,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,12.58,,,,,,,,11,,,8.5,,18
12/20/1989,,18.08,62448.45,12.44,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,13,,,,,,,,11,,,8.25,,18
12/21/1989,,18.13,96702.68,12.47,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,12.5,,,,,,,,11,,,8.25,,18
12/22/1989,,17.88,110174.67,12.47,6,,,,,7,14.875,,,17,,,10,,3.75,,,,,11,12.19,,,,,,,,12,,,8.25,,18
12/23/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
12/24/1989,,,,NaN,,,,,,,,,,NaN,,,,,3.75,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
12/25/1989,,NaN,NaN,12.47,6,,,,,NaN,NaN,,,17,,,10,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
12/26/1989,,NaN,115334.02,12.47,6,,,,,NaN,NaN,,,17,,,10,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
12/27/1989,,18.05,110657.07,12.47,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,12.62,,,,,,,,12,,,8.25,,18
12/28/1989,,17.88,103484.21,12.47,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,12.25,,,,,,,,11,,,8.25,,18
12/29/1989,,17.9,103484.21,12.47,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.5,,,,,,,,12,,,8.25,,18
12/30/1989,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
12/31/1989,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
1/1/1990,,,NaN,12.47,6,,,,,NaN,NaN,,,17,,,10,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
1/2/1990,,18.1,78163.73,12.47,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,NaN,,,,,,,,12,,,8.25,,18
1/3/1990,,18.15,77869.64,12.47,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13,,,,,,,,12,,,8.25,,18
1/4/1990,,18.2,28698.83,12.44,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.25,,,,,,,,13,,,8.25,,18
1/5/1990,,17.98,28899.77,12.44,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.5,,,,,,,,12,,,8.25,,18
1/6/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
1/7/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
1/8/1990,,18.13,29005.72,12.44,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14,,,,,,,,12,,,8.25,,18
1/9/1990,,18.28,28913.5,12.44,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.88,,,,,,,,11,,,8.25,,18
1/10/1990,,18.08,28522.46,12.44,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.5,,,,,,,,12,,,8.25,,18
1/11/1990,,18.08,29007.65,12.43,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14.19,,,,,,,,11,,,8.25,,18
1/12/1990,,18.08,30500.48,12.43,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.75,,,,,,,,11,,,8.25,,18
1/13/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
1/14/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
1/15/1990,,18.03,33097.19,12.43,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.75,,,,,,,,10,,,8.25,,18
1/16/1990,,18.03,20487.2,12.43,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.75,,,,,,,,9,,,8.25,,18
1/17/1990,,18.08,20469.12,12.43,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13,,,,,,,,9,,,8.25,,18
1/18/1990,,18.03,20747.67,12.14,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.75,,,,,,,,8,,,8.25,,18
1/19/1990,,18,21879.18,12.14,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14.13,,,,,,,,9,,,8.25,,18
1/20/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
1/21/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
1/22/1990,,17.98,28796.21,12.14,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.75,,,,,,,,9,,,8.25,,18
1/23/1990,,17.25,32934.41,12.14,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,11.75,,,,,,,,11,,,8.25,,18
1/24/1990,,17.25,38986.5,12.14,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,11.66,,,,,,,,13,,,8.25,,18
1/25/1990,,17.25,46522.66,12.29,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.83,,,,,,,,13,,,8.25,,18
1/26/1990,,17.25,54916.14,12.29,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.94,,,,,,,,13,,,8.25,,18
1/27/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
1/28/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
1/29/1990,,17.25,64707.23,12.29,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.75,,,,,,,,14,,,8.25,,18
1/30/1990,,17.25,76734.19,12.29,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.75,,,,,,,,13,,,8.25,,18
1/31/1990,,17.25,97138.29,12.29,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.88,,,,,,,,13,,,8.25,,18
2/1/1990,,17.25,141597.24,12.59,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14,,,,,,,,12,,,8.25,,18
2/2/1990,,17.25,179416.66,12.59,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.5,,,,,,,,12,,,8.25,,18
2/3/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
2/4/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
2/5/1990,,17.25,237117.57,12.59,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.75,,,,,,,,11,,,8.25,,18
2/6/1990,,17.25,331361.3,12.59,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,NaN,,,,,,,,11,,,8.25,,18
2/7/1990,,17.25,388631.21,12.59,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.7,,,,,,,,12,,,8.25,,18
2/8/1990,,17.25,406404.51,12.79,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.57,,,,,,,,12,,,8.25,,18
2/9/1990,,17.25,428453.98,12.79,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14,,,,,,,,12,,,8.25,,18
2/10/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
2/11/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
2/12/1990,,17.25,445861.06,12.79,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14,,,,,,,,12,,,8.25,,18
2/13/1990,,17.25,568882.44,12.79,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14,,,,,,,,11,,,8.25,,18
2/14/1990,,17.25,610507.74,12.79,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,12.5,,,,,,,,11,,,8.25,,18
2/15/1990,,16.75,671306.9,13.32,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14.25,,,,,,,,14,,,8.25,,18
2/16/1990,,16.75,720975.8,13.32,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14.46,,,,,,,,15,,,8.25,,18
2/17/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
2/18/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
2/19/1990,,16.75,790799.14,13.32,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14,,,,,,,,14,,,8.25,,18
2/20/1990,,16.75,788239.49,13.32,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.5,,,,,,,,14,,,8.25,,18
2/21/1990,,16.75,747772.37,13.32,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.5,,,,,,,,15,,,8.25,,18
2/22/1990,,16.75,613487.79,13.25,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.5,,,,,,,,15,,,8.25,,18
2/23/1990,,16.75,355085.64,13.25,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14.07,,,,,,,,15,,,8.25,,18
2/24/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
2/25/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
2/26/1990,,16.75,NaN,13.25,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14,,,,,,,,14,,,8.25,,18
2/27/1990,,16.75,NaN,13.25,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14,,,,,,,,14,,,8.25,,18
2/28/1990,,16.75,355085.64,13.25,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,12.5,,,,,,,,13,,,8.25,,18
3/1/1990,,16.75,135155.75,13.41,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,11.5,,,,,,,,13,,,8.25,,18
3/2/1990,,16.75,134824.92,13.41,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14,,,,,,,,14,,,8.25,,NaN
3/3/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
3/4/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
3/5/1990,,16.75,135931.04,13.41,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,12.75,,,,,,,,14,,,8.25,,18
3/6/1990,,16.75,132965.61,13.41,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,12.75,,,,,,,,14,,,8.25,,18
3/7/1990,,16.75,126707.68,13.41,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,12.5,,,,,,,,13,,,8.25,,18
3/8/1990,,16.75,118785.32,13.31,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,12.25,,,,,,,,13,,,8.25,,18
3/9/1990,,16.75,109908.5,13.31,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,12,,,,,,,,14,,,8.25,,18
3/10/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
3/11/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
3/12/1990,,16.75,100781.23,13.31,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,12.25,,,,,,,,14,,,8.25,,18
3/13/1990,,16.75,93779.61,13.31,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.25,,,,,,,,14,,,8.25,,18
3/14/1990,,16.75,NaN,13.31,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,14.13,,,,,,,,14,,,8.25,,18
3/15/1990,,16.75,NaN,13.28,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.75,,,,,,,,14,,,8.25,,18
3/16/1990,,16.75,NaN,13.28,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.75,,,,,,,,14,,,8.25,,18
3/17/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
3/18/1990,,,,NaN,,,,,,,,,,NaN,,,,,4.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
3/19/1990,,16.75,351.91,13.28,6,,,,,7,14.875,,,17,,,10,,4.25,,,,,11,13.25,,,,,,,,14,,,8.25,,18
3/20/1990,,16.75,351.53,13.28,6,,,,,7,14.875,,,17,,,10,,5.25,,,,,11,13.25,,,,,,,,13,,,8.25,,18
3/21/1990,,16.75,351.53,13.28,6,,,,,7,14.875,,,17,,,10,,5.25,,,,,11,12.75,,,,,,,,11,,,8.25,,18
3/22/1990,,16.75,351.15,13.38,6,,,,,7,14.875,,,17,,,10,,5.25,,,,,11,13.5,,,,,,,,14,,,8.25,,18
3/23/1990,,16.75,351.15,13.38,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,14,,,,,,,,14,,,8.25,,18
3/24/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
3/25/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
3/26/1990,,16.75,351.15,13.38,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13.75,,36,,,,,,14,,,8.25,,18
3/27/1990,,16.75,350.78,13.38,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13.96,,39,,,,,,12,,,8.25,,18
3/28/1990,,16.75,350.78,13.38,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13.25,,28.625,,,,,,14,,,8.25,,18
3/29/1990,,16.75,350.4,13.51,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13.13,,20.125,,,,,,14,,,8.25,,18
3/30/1990,,16.75,351.15,13.51,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,12.98,,7.5625,,,,,,13,,,8.25,,18
3/31/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
4/1/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,12.75,,,,,,,,,,,8.25,,NaN
4/2/1990,,16.75,116.5,13.51,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,12.75,,,,,,,,14,,,8.25,,18
4/3/1990,,16.75,116.68,13.51,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13.42,,,,,,,,13,,,8.25,,18
4/4/1990,,15.25,116.5,13.51,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13.5,,,,,,,,12,,,8.25,,18
4/5/1990,,15.25,116.5,13.57,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13.07,,,,,,,,13,,,8.25,,18
4/6/1990,,15.25,116.32,13.57,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13.75,,,,,,,,13,,,8.25,,NaN
4/7/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
4/8/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
4/9/1990,,15.25,116.5,13.57,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13.9,,,,,,,,13,,,8.25,,18
4/10/1990,,15.25,116.32,13.57,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,14.07,,,,,,,,13,,,8.25,,18
4/11/1990,,15.25,116.32,13.61,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,14.25,,,,,,,,13,,,8.25,,18
4/12/1990,,15.25,NaN,13.61,6,,,,,NaN,14.875,,,17,,,10,,5.25,,,,,NaN,14.25,,,,,,,,13,,,8.25,,18
4/13/1990,,,NaN,13.61,6,,,,,NaN,NaN,,,17,,,10,,5.25,,,,,NaN,NaN,,,,,,,,13,,,8.25,,NaN
4/14/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
4/15/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
4/16/1990,,,47.24,13.61,6,,,,,NaN,NaN,,,17,,,10,,5.25,,,,,NaN,NaN,,,,,,,,13,,,8.25,,NaN
4/17/1990,,15.25,47.12,13.61,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13,,,,,,,,12,,,8.25,,18
4/18/1990,,15.25,46.63,13.61,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13.25,,,,,,,,13,,,8.25,,18
4/19/1990,,15.25,45.52,13.77,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,12.5,,,,,,,,13,,,8.25,,18
4/20/1990,,15.25,44.67,13.77,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,12.25,,,,,,,,13,,,8.25,,18
4/21/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
4/22/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
4/23/1990,,15.25,44.19,13.77,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,12.25,,,,,,,,13,,,8.25,,18
4/24/1990,,15.25,44.43,13.77,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,12.75,,,,,,,,14,,,8.25,,18
4/25/1990,,,44.67,13.77,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,NaN,,,,,,,,13,,,8.25,,18
4/26/1990,,15.25,45.04,13.8,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,12.5,,,,,,,,13,,,8.25,,18
4/27/1990,,15.25,47,13.8,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13.75,,,,,,,,13,,,8.25,,18
4/28/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
4/29/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
4/30/1990,,15.25,64.75,13.8,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13,,,,,,,,12,,,8.25,,18
5/1/1990,,15.25,NaN,13.8,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,NaN,12,,,,,,,,12,,,8.25,,NaN
5/2/1990,,15.25,79.46,13.8,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,12.4,,,,,,,,12,,,8.25,,18
5/3/1990,,15.25,79.46,13.79,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,12,,,,,,,,11,,,8.25,,18
5/4/1990,,15.25,79.31,13.79,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,12.44,,,,,,,,12,,,8.25,,18
5/5/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
5/6/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
5/7/1990,,15.25,79.61,13.79,6,,,,,8,NaN,,,17,,,10,,5.25,,,,,11,12.85,,,,,,,,12,,,8.25,,18
5/8/1990,,15.25,79.76,13.79,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13,,,,,,,,12,,,8.25,,18
5/9/1990,,15.25,79.61,13.79,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,12.88,,,,,,,,11,,,8.25,,18
5/10/1990,,15.25,79.76,13.77,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,12.94,,,,,,,,12,,,8.25,,18
5/11/1990,,15.25,79.76,13.77,6,,,,,NaN,14.875,,,17,,,10,,5.25,,,,,11,13.69,,,,,,,,12,,,8.25,,18
5/12/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,18
5/13/1990,,,,NaN,,,,,,,,,,NaN,,,,,5.25,,,,,NaN,NaN,,,,,,,,,,,8.25,,NaN
5/14/1990,,15.25,87.61,13.77,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13,,,,,,,,12,,,8.25,,18
5/15/1990,,15.25,87.61,13.77,6,,,,,8,14.875,,,17,,,10,,5.25,,,,,11,13.5,,,,,,,,13,,,8.25,,18
